Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,"London, United Kingdom",87.5,70.1,79.7,68.9,89.7,117.5
,"Amsterdam, Netherlands",82.6,60,72.5,71.5,91.8,129.9
,"Paris, France",78.6,43.5,62.9,77.9,75.2,118
,"Vienna, Austria",73.9,29.6,54.2,74,75,133.5
,"Berlin, Germany",70,36.2,54.9,63,68.1,126.1
,"Rome, Italy",63.4,34.9,50.7,64.9,63.5,84.3
,"London, Canada",59.8,31.1,47,64.3,63.9,124.5
,"Barcelona, Spain",59.2,36,48.9,56,63.8,95.1
,"Athens, Greece",57.9,18.2,40.2,55.1,62.9,66.1
,"Lisbon, Portugal",54.2,38.6,47.2,50.1,53.1,60.9
,"Budapest, Hungary",51.1,20.3,37.3,47.8,50.5,84.9
